"player_name","no_of_goals"
"Nikita Kucherov",7
"Jonathan Marchessault",7
"Sidney Crosby",7
"Blake Coleman",7
NULL,7
"Mark Scheifele",5
"Artemi Panarin",5
"Brandon Hagel",5
"Jake Guentzel",5
"Gustav Nyquist",5
"David Pastrnak",4
"Elias Pettersson",4
"Evander Kane",4
"Bryan Rust",4
"Kyle Connor",4
"Pavel Buchnevich",4
"Sam Reinhart",4
"Seth Jarvis",4
"Brock Boeser",4
"Andrei Svechnikov",4
"Tage Thompson",3
"Jimmy Vesey",3
"Nikolaj Ehlers",3
"Ross Colton",3
"Andrew Mangiapane",3
"Matthew Tkachuk",3
"Nazem Kadri",3
"Cam York",3
"Roope Hintz",3
"Lucas Raymond",3
"Nino Niederreiter",3
"Carter Verhaeghe",3
"Dakota Joshua",3
"William Karlsson",3
"Rasmus Dahlin",3
"Anthony Cirelli",3
"Erik Haula",3
"Mikko Rantanen",3
"Sebastian Aho",3
"Alex Ovechkin",3
"Dylan Larkin",3
"Nathan MacKinnon",3
"Kirill Kaprizov",3
"Steven Stamkos",3
"Dylan Cozens",3
"Casey Mittelstadt",2
"Joel Eriksson Ek",2
"Chris Kreider",2
"Matt Duchene",2
"Owen Tippett",2
"Evgeny Kuznetsov",2
"Alex Nylander",2
"Connor McMichael",2
"Jake DeBrusk",2
"Jack Hughes",2
"Anton Lundell",2
"Jason Robertson",2
"Adam Henrique",2
"Mikael Backlund",2
"Kyle Palmieri",2
"William Nylander",2
"Artem Zub",2
"Nicolas Roy",2
"Zach Hyman",2
"Tom Wilson",2
"Nico Hischier",2
"Jan Rutta",2
"Mika Zibanejad",2
"Matias Maccelli",2
"Lawson Crouse",2
"Eetu Luostarinen",2
"Tim Stützle",2
"Eeli Tolvanen",2
"Frank Vatrano",2
"Elias Lindholm",2
"Parker Kelly",2
"Tyler Toffoli",2
"Lars Eller",2
"Cole Perfetti",2
"Jared McCann",2
"Kevin Stenlund",2
"Michael Rasmussen",2
"Johnny Gaudreau",2
"Alexis Lafrenière",2
"Trevor Moore",2
"Jack Eichel",2
"Kasperi Kapanen",2
"Bobby McMann",2
"Morgan Barron",2
"T.J. Oshie",2
"Auston Matthews",2
"Brad Marchand",2
"Joe Pavelski",2
"Ryan Hartman",2
"Drew O'Connor",2
"Artturi Lehkonen",2
"Adrian Kempe",2
"Vincent Trocheck",2
"Filip Forsberg",2
"Quinton Byfield",2
"Aleksander Barkov",2
"Logan Cooley",2
"Blake Wheeler",2
"Marcus Foligno",2
"Clayton Keller",2
"Miles Wood",2
"Nick Schmaltz",2
"Christian Dvorak",1
"MacKenzie Weegar",1
"Moritz Seider",1
"Tyler Bertuzzi",1
"Kevin Hayes",1
"Chandler Stephenson",1
"Tomas Hertl",1
"Quinn Hughes",1
"Noah Gregor",1
"Jake Evans",1
"Teuvo Teravainen",1
"Boone Jenner",1
"JJ Peterka",1
"Mark Jankowski",1
"Vladimir Tarasenko",1
"Joel Armia",1
"Nick Suzuki",1
"Nick Bjugstad",1
"Sam Carrick",1
"Sean Durzi",1
"Jake Sanderson",1
"Nick Foligno",1
"Jonas Brodin",1
"Jordan Greenway",1
"Seth Jones",1
"Mats Zuccarello",1
"Brayden Point",1
"Gabriel Vilardi",1
"Ridly Greig",1
"Phillip Di Giuseppe",1
"Mathew Barzal",1
"Brady Tkachuk",1
"Jake Middleton",1
"Adam Lowry",1
"Chris Tierney",1
"Jack Roslovic",1
"Nathan Bastian",1
"Noah Cates",1
"Sean Monahan",1
"Logan O'Connor",1
"Danton Heinen",1
"Adam Fantilli",1
"Erik Brannstrom",1
"Alex Kerfoot",1
"Jake McCabe",1
"John Tavares",1
"Kris Letang",1
"Trent Frederic",1
"David Savard",1
"Devon Toews",1
"Calvin de Haan",1
"Jacob Trouba",1
"Philipp Kurashev",1
"Jordan Kyrou",1
"Gustav Lindstrom",1
"Alexandre Texier",1
"Shane Pinto",1
"Jordan Eberle",1
"Jordan Martinook",1
"Alex DeBrincat",1
"Oskar Sundqvist",1
"Jake Neighbours",1
"Timo Meier",1
"Miro Heiskanen",1
"Connor Bedard",1
"Cole Smith",1
"Pierre Engvall",1
"Ryan Johansen",1
"Josh Anderson",1
"Cody Glass",1
"Oliver Bjorkstrand",1
"Brent Burns",1
"Luke Evangelista",1
"Andrew Copp",1
"Yakov Trenin",1
"William Eklund",1
"Anders Lee",1
"Pavel Zacha",1
"Brandon Tanev",1
"Joel Farabee",1
"Justin Danforth",1
"Rasmus Andersson",1
"Alex Tuch",1
"Cole Sillinger",1
"Anze Kopitar",1
"Cam Fowler",1
"Ryan Nugent-Hopkins",1
"David Perron",1
"Sam Steel",1
"Cam Atkinson",1
"Robert Thomas",1
"Brandon Montour",1
"Travis Konecny",1
"Dmitry Orlov",1
"Simon Benoit",1
"Phillip Danault",1
"Yanni Gourde",1
"Jesperi Kotkaniemi",1
"Trevor Lewis",1
"Shayne Gostisbehere",1
"Viktor Arvidsson",1
"Connor Clifton",1
"Kevin Fiala",1
"Brett Howden",1
"Jonas Rondbjerg",1
"Blake Lizotte",1
"Cody Ceci",1
"Vince Dunn",1
"A.J. Greer",1
"Ryan McLeod",1
"Ryan O'Reilly",1
"Nathan Walker",1
"Connor McDavid",1
"Charlie Coyle",1
"Luke Glendening",1
"Hampus Lindholm",1
"Ivan Barbashev",1
"Brock Faber",1
"Sam Bennett",1
"Gustav Forsling",1
"Isac Lundestrom",1
"Zach Werenski",1
"Colin Blackwell",1
"Mikhail Sergachev",1
"Josh Manson",1
"Tristan Jarry",1
"Connor Dewar",1
"David Kampf",1
"Tyler Seguin",1
"Vladislav Namestnikov",1
"Nic Dowd",1
"Colton Sissons",1
"Alexey Toropchenko",1
"Zach Benson",1
"Nick Perbix",1
"Evan Bouchard",1
"Torey Krug",1
"Mason Appleton",1
"Taylor Raddysh",1
"Wyatt Johnston",1
"Drew Doughty",1
"Brandon Saad",1
"Warren Foegele",1
"John Marino",1
"Erik Karlsson",1
"Evgeni Malkin",1
"Jeremy Lauzon",1
"Mathieu Joseph",1
