,team_id,period,event_index,event_id,event_type,x_coor,y_coor,home_team,rinkside
0,8,1,4,54,SHOT,56.0,9.0,0,left
1,8,1,6,55,SHOT,95.0,21.0,0,left
2,8,1,7,151,SHOT,46.0,-18.0,0,left
3,8,1,19,152,GOAL,35.0,-24.0,0,left
4,8,1,22,98,MISSED_SHOT,63.0,-38.0,0,left
5,8,1,25,202,SHOT,55.0,-40.0,0,left
6,10,1,30,254,BLOCKED_SHOT,-44.0,16.0,1,right
7,8,1,31,209,SHOT,41.0,-39.0,0,left
8,10,1,34,215,BLOCKED_SHOT,-75.0,15.0,1,right
9,10,1,37,153,GOAL,-49.0,-38.0,1,right
10,10,1,39,229,BLOCKED_SHOT,-66.0,-20.0,1,right
11,10,1,45,234,MISSED_SHOT,-61.0,-36.0,1,right
12,8,1,48,239,SHOT,41.0,21.0,0,left
13,8,1,50,240,SHOT,33.0,-2.0,0,left
14,10,1,55,247,SHOT,-98.0,-18.0,1,right
15,10,1,58,352,SHOT,-76.0,-1.0,1,right
16,10,1,62,361,SHOT,-69.0,-24.0,1,right
17,10,1,65,367,SHOT,-71.0,-20.0,1,right
18,10,1,66,368,BLOCKED_SHOT,-60.0,6.0,1,right
19,10,1,67,154,GOAL,-81.0,3.0,1,right
20,10,1,70,373,SHOT,-75.0,-17.0,1,right
21,10,1,73,376,SHOT,-82.0,-3.0,1,right
22,10,1,77,394,MISSED_SHOT,-74.0,11.0,1,right
23,10,1,78,397,SHOT,-78.0,13.0,1,right
24,10,1,79,398,MISSED_SHOT,-87.0,6.0,1,right
25,10,1,80,257,MISSED_SHOT,-69.0,24.0,1,right
26,8,1,84,256,BLOCKED_SHOT,71.0,-40.0,0,left
27,8,1,85,464,BLOCKED_SHOT,75.0,4.0,0,left
28,8,1,88,475,MISSED_SHOT,50.0,10.0,0,left
29,10,2,100,512,SHOT,84.0,2.0,1,left
30,8,2,107,517,SHOT,-50.0,-29.0,0,right
31,8,2,111,521,SHOT,-67.0,24.0,0,right
32,8,2,112,155,BLOCKED_SHOT,-65.0,12.0,0,right
33,8,2,114,522,MISSED_SHOT,-67.0,6.0,0,right
34,8,2,116,525,BLOCKED_SHOT,-84.0,-1.0,0,right
35,10,2,125,553,SHOT,44.0,-11.0,1,left
36,10,2,131,564,BLOCKED_SHOT,72.0,-1.0,1,left
37,10,2,132,565,SHOT,61.0,0.0,1,left
38,10,2,136,571,BLOCKED_SHOT,77.0,-6.0,1,left
39,10,2,141,582,BLOCKED_SHOT,70.0,-9.0,1,left
40,10,2,142,587,BLOCKED_SHOT,82.0,1.0,1,left
41,10,2,143,598,SHOT,13.0,-25.0,1,left
42,10,2,146,608,BLOCKED_SHOT,78.0,31.0,1,left
43,8,2,148,610,MISSED_SHOT,-30.0,38.0,0,right
44,8,2,149,157,SHOT,-53.0,2.0,0,right
45,8,2,152,620,BLOCKED_SHOT,-76.0,-1.0,0,right
46,8,2,157,629,SHOT,-64.0,-27.0,0,right
47,10,2,158,159,SHOT,79.0,-3.0,1,left
48,10,2,161,158,GOAL,84.0,-4.0,1,left
49,8,2,167,706,SHOT,-1.0,-40.0,0,right
50,8,2,170,710,BLOCKED_SHOT,-80.0,4.0,0,right
51,8,2,173,719,BLOCKED_SHOT,-43.0,-29.0,0,right
52,8,2,175,720,MISSED_SHOT,-57.0,15.0,0,right
53,10,2,178,727,MISSED_SHOT,83.0,9.0,1,left
54,10,2,180,732,BLOCKED_SHOT,67.0,3.0,1,left
55,10,2,184,743,MISSED_SHOT,85.0,8.0,1,left
56,10,2,185,744,SHOT,35.0,1.0,1,left
57,10,2,186,160,SHOT,81.0,1.0,1,left
58,10,2,187,260,SHOT,84.0,2.0,1,left
59,10,2,190,748,MISSED_SHOT,60.0,24.0,1,left
60,8,2,192,753,GOAL,-84.0,10.0,0,right
61,8,3,207,777,SHOT,71.0,-36.0,0,left
62,8,3,214,162,BLOCKED_SHOT,64.0,3.0,0,left
63,10,3,215,806,SHOT,-29.0,-6.0,1,right
64,10,3,223,164,MISSED_SHOT,-51.0,-2.0,1,right
65,8,3,226,845,SHOT,37.0,9.0,0,left
66,8,3,229,850,SHOT,68.0,17.0,0,left
67,8,3,233,910,BLOCKED_SHOT,79.0,1.0,0,left
68,8,3,234,911,MISSED_SHOT,65.0,-31.0,0,left
69,8,3,236,912,MISSED_SHOT,33.0,34.0,0,left
70,10,3,237,915,SHOT,-55.0,23.0,1,right
71,10,3,238,917,SHOT,-80.0,0.0,1,right
72,10,3,240,918,SHOT,-84.0,7.0,1,right
73,10,3,241,920,SHOT,-51.0,-14.0,1,right
74,10,3,242,261,BLOCKED_SHOT,-68.0,-18.0,1,right
75,10,3,243,921,GOAL,-71.0,23.0,1,right
76,8,3,246,925,BLOCKED_SHOT,79.0,-6.0,0,left
77,8,3,247,926,MISSED_SHOT,38.0,6.0,0,left
78,8,3,248,927,MISSED_SHOT,38.0,11.0,0,left
79,8,3,251,165,GOAL,35.0,29.0,0,left
80,8,3,253,940,SHOT,29.0,7.0,0,left
81,8,3,257,945,SHOT,39.0,-32.0,0,left
82,8,3,259,956,SHOT,47.0,-24.0,0,left
83,8,3,260,964,SHOT,39.0,-11.0,0,left
84,8,3,265,979,MISSED_SHOT,61.0,-20.0,0,left
85,8,3,266,983,BLOCKED_SHOT,38.0,11.0,0,left
86,8,3,267,984,SHOT,70.0,-5.0,0,left
87,8,3,268,988,SHOT,85.0,0.0,0,left
88,8,3,271,166,BLOCKED_SHOT,67.0,10.0,0,left
89,8,3,274,992,BLOCKED_SHOT,77.0,-10.0,0,left
90,10,3,279,997,SHOT,-79.0,-15.0,1,right
91,8,3,281,1000,GOAL,56.0,-13.0,0,left
92,10,3,283,1054,SHOT,-44.0,-29.0,1,right
93,10,3,284,167,SHOT,-87.0,5.0,1,right
94,10,3,285,168,SHOT,-85.0,7.0,1,right
95,10,3,286,1055,SHOT,-88.0,4.0,1,right
96,8,4,292,1059,MISSED_SHOT,-61.0,-1.0,0,right
97,8,4,293,169,GOAL,-68.0,3.0,0,right
