"team","total_shots_against","total_goals_against","avg_save_perc","total_goals","total_pim"
"ANA",2809,294,0.890,0,20
"ARI",2663,253,0.899,0,2
"BOS",2727,249,0.894,0,6
"BUF",1448,116,0.913,0,8
"CAR",1503,147,0.890,0,4
"CBJ",2027,190,0.901,0,2
"CGY",639,61,0.904,0,0
"CHI",2299,221,0.897,0,0
"COL",2071,197,0.900,0,0
"DAL",2537,235,0.903,0,2
"DET",2790,273,0.898,0,8
"EDM",2224,200,0.903,0,2
"FLA",1545,131,0.909,0,4
"LAK",632,65,0.891,0,4
"MIN",2754,272,0.896,0,2
"MTL",2062,208,0.890,0,6
"NJD",2429,240,0.887,0,14
"NSH",3068,281,0.905,0,4
"NYI",2442,218,0.905,0,14
"NYR",2261,254,0.877,0,2
"OTT",1939,184,0.898,0,2
"PHI",1569,147,0.891,0,0
"PIT",2640,245,0.897,1,4
"SEA",2690,260,0.895,0,10
"SJS",1294,109,0.912,0,4
"STL",2438,247,0.895,0,2
"TBL",2312,206,0.908,0,0
"TOR",1555,142,0.908,0,0
"VAN",1547,124,0.918,0,4
"VGK",2187,202,0.904,0,0
"WPG",1055,103,0.891,0,0
"WSH",1295,129,0.883,0,0
NULL,322,39,0.877,0,0
