"team","total_goals","total_pp_goals","total_sh_goals","total_shots","total_pim"
"ANA",201,42,12,2163,1044
"ARI",224,44,6,2022,803
"BOS",262,54,7,2391,752
"BUF",242,37,7,2483,769
"CAR",276,67,11,2732,663
"CBJ",219,31,5,2285,605
"CGY",242,43,11,2404,704
"CHI",169,35,3,1921,610
"COL",273,52,7,2536,675
"DAL",294,58,12,2588,536
"DET",273,63,7,2336,680
"EDM",290,64,7,2750,760
"FLA",265,63,8,2763,1100
"LAK",250,56,11,2587,687
"MIN",248,62,3,2439,908
"MTL",215,43,7,2100,734
"NJD",250,55,3,2400,691
"NSH",248,55,7,2488,729
"NYI",245,47,10,2470,566
"NYR",277,65,8,2548,727
"OTT",245,51,7,2505,802
"PHI",216,28,16,2566,786
"PIT",244,40,5,2522,558
"SEA",208,50,6,2257,617
"SJS",179,42,3,2045,741
"STL",226,45,11,2238,540
"TBL",281,69,5,2278,836
"TOR",298,57,6,2668,791
"VAN",279,58,7,2328,756
"VGK",261,50,9,2529,585
"WPG",257,45,3,2471,641
"WSH",205,47,3,2055,587
